""	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"B1"	"B10"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"C1"	"C2"	"C3"	"C4"	"C5"	"D1"	"D2"	"D3"	"D4"	"D5"	"E1"	"E2"	"E3"	"E4"	"E5"	"F1"	"F2"	"F3"	"F4"	"F5"	"G1"	"G2"	"G3"	"G4"	"G5"
"A0A060HE65"	9440900	5867800	0	0	8791800	7550400	0	0	8739100	0	0	0	0	0	0	0	0	0	0	10410000	7209700	10555000	7290000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HE73"	2863500	3712100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4958000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HE79"	0	11952000	0	0	0	0	9887000	14319000	9741700	0	12632000	0	0	0	0	0	0	0	11765000	10192000	0	0	10496000	0	10749000	0	11348000	0	8361000	24361000	0	0	0	0	12614000	0	13956000	16758000	0	12717000	15292000	12960000	14993000	14195000
"A0A060HE87"	24206000	28425000	29835000	31375000	35611000	31789000	20113000	24354000	31555000	9484000	28007000	26671000	14526000	15803000	26110000	22388000	30984000	23344000	21223000	30143000	29986000	32762000	33477000	27035000	25029000	29818000	30491000	37475000	22613000	25769000	18524000	17177000	17322000	21324000	29167000	20386000	26687000	22869000	31561000	32159000	43005000	24978000	22443000	24861000
"A0A060HE89"	5070300	0	0	0	0	0	0	4548000	0	6928700	0	0	0	0	6410900	0	0	4427500	5382200	4969000	5691200	4364400	0	4925500	0	0	0	0	0	0	5344100	5480100	0	0	0	0	4633600	4875300	0	0	0	0	0	0
"A0A060HE93"	363360000	304880000	318520000	319430000	293750000	274720000	329320000	333520000	348810000	371550000	398800000	445020000	373490000	344210000	445760000	342860000	429720000	351450000	410540000	347460000	368590000	366380000	347210000	377590000	346820000	407180000	327290000	357170000	379410000	369640000	373880000	359130000	357740000	309090000	435620000	402900000	433980000	401600000	377530000	371860000	326760000	331120000	389040000	377150000
"A0A060HEA4"	10045000	8579400	0	0	8399300	6694100	6245700	0	7489900	0	7255800	0	9222000	9985800	8230200	7640000	0	10202000	8892400	8210900	8245100	9262800	10107000	7582700	6731600	7308200	6759700	10043000	10517000	12268000	8636100	0	8323000	8452900	10521000	0	7437900	8373200	0	0	0	7732700	7733900	0
"A0A060HEA8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8533100	0	0	0	0	0	0	0
"A0A060HEB5"	36777000	37596000	47161000	46360000	44758000	48168000	40736000	43747000	36525000	28752000	48359000	47418000	29916000	29863000	41540000	51815000	58549000	49791000	42199000	40724000	40693000	37583000	43112000	33556000	34205000	42725000	40249000	25070000	41739000	51672000	45242000	49849000	56188000	57078000	51657000	47746000	49040000	45410000	49963000	44729000	40209000	38361000	38994000	35385000
"A0A060HEC0"	9570100	0	13301000	15287000	12869000	18291000	13969000	10893000	14834000	18800000	21630000	19172000	0	23488000	0	24566000	0	18960000	13782000	11621000	16103000	11188000	0	0	10533000	0	14962000	11991000	9088600	15293000	0	0	14317000	15456000	0	12679000	12856000	0	0	14729000	0	15714000	12851000	0
"A0A060HED0"	113100000	92546000	100800000	113130000	118210000	88334000	100800000	93748000	110240000	43826000	83078000	92834000	65938000	57964000	81597000	74970000	69033000	88151000	73420000	84364000	82956000	94881000	108770000	87627000	105130000	98969000	92491000	142040000	98453000	67783000	63557000	70140000	63845000	57104000	67390000	67120000	85727000	74710000	54567000	88583000	79302000	72819000	88420000	85482000
"A0A060HED3"	693890000	575540000	596190000	635350000	696500000	609010000	736210000	891120000	738890000	136760000	765490000	115950000	140820000	184940000	176870000	400850000	811530000	472180000	489400000	756220000	685410000	944100000	729480000	841930000	681750000	968070000	890260000	887950000	800450000	653740000	374570000	237060000	411480000	623690000	744400000	892160000	1073800000	691530000	954770000	891140000	807750000	809250000	1094200000	948970000
"A0A060HED8"	121460000	87478000	106020000	95738000	98227000	98521000	111200000	133690000	115630000	0	87621000	28476000	16819000	0	32041000	45272000	120060000	51494000	62004000	112390000	100080000	113040000	106220000	123750000	114040000	124910000	120740000	120290000	118300000	67063000	50446000	38910000	52569000	62123000	75909000	72326000	96704000	65153000	66182000	148640000	116010000	123620000	145670000	140220000
"A0A060HEE4"	3580100	0	0	0	0	6232800	0	0	0	0	0	7225200	0	0	9661700	9850100	0	0	9024100	7158500	5975500	6171400	0	0	0	0	0	0	5496500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HEE9"	0	10274000	12545000	11147000	9535100	8882800	8879400	11484000	10895000	0	0	0	0	0	0	4030300	9505100	0	5543600	9687300	9304800	11553000	10507000	11312000	10211000	11598000	13988000	11185000	13902000	0	0	0	8311700	10149000	7052300	8535100	10768000	6252800	8073000	12775000	8865800	9927100	10025000	10589000
"A0A060HEF8"	17450000	13053000	21883000	16373000	14106000	13487000	26486000	11135000	16690000	0	7132200	8359400	0	0	0	0	0	8664300	5098200	11488000	13986000	14098000	13632000	9818600	11709000	12348000	15644000	9060000	9716900	6338200	3740700	0	0	4660400	7513800	11985000	11323000	11292000	9346500	11009000	7686400	9278100	7707700	12068000
"A0A060HEG8"	6293500	5800400	4614600	0	5592600	7671900	5127900	6506100	5151700	0	0	5372700	0	0	8997800	0	0	5242900	7238200	0	5570800	7547900	5378000	6305000	0	6333200	4856700	8892100	0	0	6244000	5839100	0	0	6342500	5615700	5437900	5910500	0	5279200	7440500	5111800	5792400	5834600
"A0A060HEH3"	10157000	9364700	7808200	0	0	10435000	8545400	8067700	0	0	0	12861000	0	0	15881000	9916200	17045000	11021000	11754000	0	0	9387900	8523900	11099000	11399000	9920000	9355300	10919000	11703000	11471000	9713900	10860000	10502000	13946000	9422500	9664200	12751000	11053000	9812000	10702000	8651000	9179000	10582000	8526000
"A0A060HEH8"	48132000	41716000	37408000	36077000	42032000	52011000	43071000	46750000	51746000	0	34443000	19001000	0	0	28206000	28572000	55834000	37148000	30938000	46561000	42297000	44815000	47361000	43549000	46701000	72500000	67459000	54952000	56036000	20982000	11585000	22557000	22593000	37577000	35402000	43348000	42891000	41846000	41007000	44400000	47510000	38134000	51882000	42726000
